aluno1;lscorsin@redhat.com
aluno2;lscorsin@redhat.com
aluno3;lscorsin@redhat.com
aluno4;lscorsin@redhat.com
aluno5;lscorsin@redhat.com
aluno6;lscorsin@redhat.com
aluno7;lscorsin@redhat.com
aluno8;lscorsin@redhat.com
aluno9;lscorsin@redhat.com
aluno10;lscorsin@redhat.com
aluno11;lscorsin@redhat.com
aluno12;lscorsin@redhat.com
aluno13;lscorsin@redhat.com
aluno14;lscorsin@redhat.com
aluno15;lscorsin@redhat.com
aluno16;lscorsin@redhat.com
aluno17;lscorsin@redhat.com
aluno18;lscorsin@redhat.com
aluno19;lscorsin@redhat.com
aluno20;lscorsin@redhat.com
